Date,Region,Confirmed,Recovered,Deceased
05-07-2020,Maharashtra,200064.0,108082.0,8671.0

06-07-2020,Maharashtra,206619.0,111740.0,8822.0

07-07-2020,Maharashtra,211987.0,115262.0,9026.0

08-07-2020,Maharashtra,217121.0,118558.0,9250.0

09-07-2020,Maharashtra,223724.0,123192.0,9448.0

10-07-2020,Maharashtra,230599.0,127259.0,9667.0

11-07-2020,Maharashtra,238461.0,132625.0,9893.0

12-07-2020,Maharashtra,246600.0,136985.0,10116.0

13-07-2020,Maharashtra,254427.0,140325.0,10289.0

14-07-2020,Maharashtra,260924.0,144507.0,10482.0

15-07-2020,Maharashtra,267665.0,149007.0,10695.0

16-07-2020,Maharashtra,275640.0,152613.0,10928.0

17-07-2020,Maharashtra,284281.0,158140.0,11194.0

18-07-2020,Maharashtra,292589.0,160357.0,11452.0

19-07-2020,Maharashtra,300937.0,165663.0,11596.0

20-07-2020,Maharashtra,310455.0,169569.0,11854.0

21-07-2020,Maharashtra,318695.0,175029.0,12030.0

22-07-2020,Maharashtra,327031.0,182217.0,12276.0

23-07-2020,Maharashtra,337607.0,187769.0,12556.0

24-07-2020,Maharashtra,347502.0,194253.0,12854.0

25-07-2020,Maharashtra,357117.0,199967.0,13132.0

26-07-2020,Maharashtra,366368.0,207194.0,13389.0

27-07-2020,Maharashtra,375799.0,213238.0,13656.0

28-07-2020,Maharashtra,383723.0,221944.0,13883.0

29-07-2020,Maharashtra,391440.0,232277.0,14165.0

30-07-2020,Maharashtra,400651.0,239755.0,14463.0

31-07-2020,Maharashtra,411798.0,248615.0,14729.0

01-08-2020,Maharashtra,422118.0,256158.0,14994.0

02-08-2020,Maharashtra,431719.0,266883.0,15316.0

03-08-2020,Maharashtra,441228.0,276809.0,15576.0

04-08-2020,Maharashtra,450196.0,287030.0,15842.0

05-08-2020,Maharashtra,457956.0,299356.0,16142.0

06-08-2020,Maharashtra,468265.0,305521.0,16476.0

07-08-2020,Maharashtra,479779.0,316375.0,16792.0

08-08-2020,Maharashtra,490262.0,327281.0,17092.0

09-08-2020,Maharashtra,503084.0,338362.0,17367.0

10-08-2020,Maharashtra,515332.0,351710.0,17757.0

11-08-2020,Maharashtra,524513.0,358421.0,18050.0

12-08-2020,Maharashtra,535601.0,368435.0,18306.0

13-08-2020,Maharashtra,548313.0,381843.0,18650.0

14-08-2020,Maharashtra,560126.0,390958.0,19063.0

15-08-2020,Maharashtra,572734.0,401442.0,19427.0

16-08-2020,Maharashtra,584754.0,408286.0,19749.0

17-08-2020,Maharashtra,595865.0,417123.0,20037.0

18-08-2020,Maharashtra,604358.0,428514.0,20265.0

19-08-2020,Maharashtra,615477.0,437870.0,20687.0

20-08-2020,Maharashtra,628642.0,446881.0,21033.0

21-08-2020,Maharashtra,643289.0,459124.0,21359.0

22-08-2020,Maharashtra,657450.0,470873.0,21698.0

23-08-2020,Maharashtra,671942.0,480114.0,21995.0

24-08-2020,Maharashtra,682383.0,488271.0,22253.0

25-08-2020,Maharashtra,693398.0,502490.0,22465.0

26-08-2020,Maharashtra,703823.0,514790.0,22794.0

27-08-2020,Maharashtra,718711.0,522427.0,23089.0

28-08-2020,Maharashtra,733568.0,531563.0,23444.0

29-08-2020,Maharashtra,747995.0,543170.0,23775.0

30-08-2020,Maharashtra,764281.0,554711.0,24103.0

31-08-2020,Maharashtra,780689.0,562401.0,24399.0

01-09-2020,Maharashtra,792541.0,573559.0,24583.0

02-09-2020,Maharashtra,808306.0,584537.0,24903.0

03-09-2020,Maharashtra,825739.0,598496.0,25195.0

04-09-2020,Maharashtra,843844.0,612484.0,25586.0

05-09-2020,Maharashtra,863062.0,625773.0,25964.0

06-09-2020,Maharashtra,883862.0,636574.0,26276.0

07-09-2020,Maharashtra,907212.0,644400.0,26604.0

08-09-2020,Maharashtra,923641.0,659322.0,27027.0

09-09-2020,Maharashtra,943772.0,672556.0,27407.0

10-09-2020,Maharashtra,967349.0,686462.0,27787.0

11-09-2020,Maharashtra,990795.0,700715.0,28282.0

